epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,23047.4,1.34311,0.67325,1.07824,0.87146,0.83657,0.88215,0.55359,1.26497,0.66072,1.09287,0.006931,0.006931,0.006931
95,23292.1,1.33459,0.66729,1.07615,0.87239,0.83799,0.88239,0.55374,1.26447,0.66077,1.0927,0.006898,0.006898,0.006898
96,23536.7,1.34442,0.66779,1.07496,0.87424,0.83473,0.88215,0.5537,1.26427,0.66064,1.09261,0.006865,0.006865,0.006865
97,23780.8,1.33577,0.66899,1.07559,0.87583,0.83542,0.88271,0.55382,1.26429,0.66037,1.09251,0.006832,0.006832,0.006832
98,24025.6,1.34124,0.66722,1.07584,0.87582,0.83657,0.88272,0.55357,1.26409,0.66014,1.09237,0.006799,0.006799,0.006799
99,24269.5,1.33489,0.66538,1.07554,0.87296,0.839,0.8829,0.55419,1.26383,0.66003,1.09227,0.006766,0.006766,0.006766
100,24514.5,1.33634,0.66548,1.07104,0.87145,0.83976,0.88283,0.55385,1.26392,0.65953,1.09235,0.006733,0.006733,0.006733
101,24759.2,1.33583,0.66734,1.07347,0.87092,0.84056,0.88304,0.55329,1.26375,0.65922,1.09198,0.0067,0.0067,0.0067
102,25003.2,1.3287,0.66376,1.07545,0.87021,0.84072,0.88271,0.55392,1.26378,0.65934,1.09198,0.006667,0.006667,0.006667
103,25247.2,1.32352,0.6632,1.07656,0.87246,0.84028,0.88278,0.55411,1.26337,0.65913,1.09191,0.006634,0.006634,0.006634
104,25492,1.33553,0.66365,1.0739,0.87273,0.84066,0.88273,0.55409,1.26328,0.65907,1.09192,0.006601,0.006601,0.006601
105,25736.4,1.32892,0.662,1.07276,0.8724,0.84125,0.8826,0.55428,1.2629,0.65842,1.09169,0.006568,0.006568,0.006568
106,25981.1,1.32643,0.66095,1.06818,0.87321,0.83861,0.88248,0.55426,1.263,0.6584,1.09173,0.006535,0.006535,0.006535
107,26225.3,1.32513,0.6566,1.07148,0.87393,0.83809,0.88263,0.55396,1.26322,0.65812,1.09182,0.006502,0.006502,0.006502
108,26469.1,1.3281,0.65746,1.07052,0.87474,0.83824,0.88274,0.55408,1.26314,0.65793,1.09171,0.006469,0.006469,0.006469
109,26713.5,1.33014,0.65865,1.07209,0.87524,0.83752,0.88275,0.55441,1.26293,0.65793,1.09161,0.006436,0.006436,0.006436
110,26958.2,1.32446,0.65161,1.07184,0.87415,0.84007,0.88269,0.55477,1.26253,0.65768,1.09149,0.006403,0.006403,0.006403
111,27202.7,1.32578,0.65982,1.07329,0.87245,0.84158,0.88271,0.55493,1.26231,0.65768,1.09135,0.00637,0.00637,0.00637
112,27447.5,1.32547,0.65278,1.06741,0.87208,0.84222,0.88288,0.55537,1.26244,0.65776,1.09158,0.006337,0.006337,0.006337
113,27692.2,1.32837,0.65529,1.06997,0.87176,0.84245,0.88271,0.55514,1.26214,0.65757,1.09153,0.006304,0.006304,0.006304
114,27936.7,1.32228,0.65394,1.06703,0.86904,0.84371,0.88265,0.55477,1.26212,0.65764,1.0915,0.006271,0.006271,0.006271
115,28180.9,1.3206,0.6509,1.06872,0.86939,0.84372,0.88276,0.55507,1.26211,0.65768,1.09142,0.006238,0.006238,0.006238
116,28426.3,1.3213,0.65036,1.06838,0.86933,0.84357,0.8826,0.55474,1.26223,0.65759,1.09145,0.006205,0.006205,0.006205
117,28670.5,1.32102,0.65102,1.06854,0.86827,0.84503,0.88268,0.55444,1.26217,0.65722,1.09137,0.006172,0.006172,0.006172
118,28914.3,1.32168,0.65217,1.07101,0.86787,0.84501,0.88289,0.55452,1.26197,0.6571,1.09125,0.006139,0.006139,0.006139
119,29159.2,1.32892,0.65221,1.06865,0.86759,0.84522,0.88286,0.55461,1.26195,0.65673,1.09119,0.006106,0.006106,0.006106
120,29402.9,1.31265,0.64398,1.06707,0.86706,0.84549,0.88314,0.55506,1.26203,0.65663,1.09125,0.006073,0.006073,0.006073
121,29646.3,1.31735,0.65124,1.06745,0.86704,0.8456,0.88301,0.55462,1.26182,0.65622,1.09113,0.00604,0.00604,0.00604
122,29890.7,1.31956,0.6496,1.06774,0.86646,0.84613,0.88299,0.55515,1.26165,0.6562,1.09108,0.006007,0.006007,0.006007
123,30135.1,1.32112,0.65077,1.06469,0.86688,0.84604,0.88281,0.55465,1.26146,0.65608,1.09095,0.005974,0.005974,0.005974
124,30379.4,1.3208,0.64757,1.06983,0.86708,0.84619,0.88302,0.55538,1.26156,0.65593,1.09109,0.005941,0.005941,0.005941
125,30623.7,1.31523,0.64722,1.06397,0.86909,0.84529,0.88283,0.555,1.26152,0.65604,1.09104,0.005908,0.005908,0.005908
126,30868.6,1.31824,0.64404,1.06276,0.86713,0.8458,0.88287,0.55488,1.26156,0.65608,1.091,0.005875,0.005875,0.005875
127,31113.1,1.32023,0.64569,1.06537,0.87009,0.84484,0.8829,0.55483,1.26146,0.65625,1.09096,0.005842,0.005842,0.005842
128,31357.7,1.32006,0.64736,1.06274,0.869,0.84449,0.8827,0.55473,1.26152,0.65607,1.09098,0.005809,0.005809,0.005809
129,31601.9,1.31546,0.64455,1.06775,0.86877,0.8449,0.88273,0.55514,1.26126,0.65608,1.09083,0.005776,0.005776,0.005776
130,31846.3,1.31566,0.64446,1.06119,0.86896,0.84301,0.88254,0.55522,1.26101,0.65595,1.09069,0.005743,0.005743,0.005743
131,32090.2,1.31983,0.6449,1.06593,0.86928,0.84303,0.8828,0.55511,1.26083,0.65569,1.09061,0.00571,0.00571,0.00571
132,32334.9,1.31772,0.64282,1.06289,0.86866,0.84203,0.88274,0.55514,1.26074,0.65586,1.09051,0.005677,0.005677,0.005677
133,32579.4,1.30613,0.63823,1.06117,0.8688,0.84185,0.88236,0.55532,1.26057,0.65575,1.09044,0.005644,0.005644,0.005644
134,32823.2,1.3108,0.64296,1.05901,0.86907,0.84185,0.883,0.55506,1.26038,0.6556,1.09029,0.005611,0.005611,0.005611
135,33067.8,1.30947,0.64216,1.06352,0.8684,0.84233,0.88288,0.55517,1.26012,0.65542,1.09005,0.005578,0.005578,0.005578
136,33311.9,1.31942,0.64299,1.06041,0.87065,0.84177,0.88297,0.55507,1.26021,0.65539,1.08996,0.005545,0.005545,0.005545
137,33556.2,1.30633,0.64223,1.06307,0.87208,0.84136,0.88314,0.55474,1.25997,0.65535,1.08983,0.005512,0.005512,0.005512
138,33800.1,1.3066,0.63748,1.06081,0.87242,0.84055,0.88278,0.55481,1.25991,0.65547,1.08983,0.005479,0.005479,0.005479
139,34043.9,1.30089,0.63376,1.05934,0.87138,0.8414,0.88267,0.55473,1.25987,0.65551,1.08973,0.005446,0.005446,0.005446
140,34288.9,1.30497,0.63681,1.06089,0.87122,0.84125,0.8828,0.55488,1.25994,0.65571,1.08971,0.005413,0.005413,0.005413
141,34533.1,1.30764,0.63764,1.05975,0.87088,0.84149,0.88298,0.55478,1.25997,0.65579,1.08965,0.00538,0.00538,0.00538
142,34778,1.30278,0.63638,1.05731,0.8708,0.84314,0.88325,0.55513,1.25959,0.65519,1.08948,0.005347,0.005347,0.005347
143,35022.7,1.30402,0.63478,1.05661,0.87028,0.84239,0.88265,0.55528,1.25973,0.65522,1.08939,0.005314,0.005314,0.005314
144,35267,1.30374,0.63618,1.05834,0.87173,0.84335,0.88304,0.55537,1.25964,0.65511,1.08928,0.005281,0.005281,0.005281
145,35511.3,1.30462,0.6349,1.05733,0.87125,0.8426,0.88261,0.55551,1.25969,0.65493,1.08929,0.005248,0.005248,0.005248
146,35755.4,1.3079,0.63317,1.06004,0.8695,0.84403,0.88301,0.55564,1.25973,0.65497,1.08924,0.005215,0.005215,0.005215
147,35999.4,1.30554,0.63362,1.05882,0.86931,0.84348,0.88278,0.55602,1.25948,0.65458,1.08901,0.005182,0.005182,0.005182
148,36243.6,1.30522,0.63414,1.06088,0.87031,0.84267,0.88284,0.55578,1.25936,0.65436,1.08897,0.005149,0.005149,0.005149
149,36487.7,1.29175,0.62893,1.05707,0.87049,0.84331,0.88267,0.55592,1.25942,0.65397,1.08884,0.005116,0.005116,0.005116
150,36732.1,1.30615,0.6301,1.05455,0.8718,0.84321,0.88265,0.55551,1.25936,0.65396,1.08872,0.005083,0.005083,0.005083
151,36975.7,1.29422,0.62773,1.05508,0.87185,0.84262,0.88291,0.55573,1.2594,0.65378,1.0887,0.00505,0.00505,0.00505
152,37219.8,1.29481,0.63209,1.05631,0.87151,0.84229,0.88274,0.5556,1.25948,0.65427,1.0887,0.005017,0.005017,0.005017
153,37463.9,1.29623,0.63,1.05632,0.87027,0.84613,0.8831,0.55555,1.2595,0.654,1.08867,0.004984,0.004984,0.004984
154,37707.7,1.29537,0.62843,1.0549,0.86731,0.84766,0.88326,0.55574,1.25939,0.65403,1.08856,0.004951,0.004951,0.004951
155,37952.1,1.29829,0.6262,1.05586,0.86761,0.84801,0.88307,0.55554,1.25932,0.65393,1.08845,0.004918,0.004918,0.004918
156,38196.7,1.29211,0.62661,1.05477,0.86578,0.84885,0.88315,0.55543,1.25933,0.65371,1.08842,0.004885,0.004885,0.004885
157,38441.7,1.29574,0.62724,1.05637,0.86728,0.84705,0.88322,0.55565,1.25964,0.65356,1.08837,0.004852,0.004852,0.004852
158,38686.1,1.29299,0.62392,1.05406,0.86587,0.84913,0.88325,0.55555,1.25966,0.65367,1.08833,0.004819,0.004819,0.004819
159,38930.6,1.29521,0.62483,1.05124,0.86737,0.84553,0.88325,0.55563,1.25937,0.65345,1.08817,0.004786,0.004786,0.004786
160,39174.8,1.2915,0.61927,1.05082,0.86199,0.85428,0.88313,0.55563,1.25935,0.65345,1.08808,0.004753,0.004753,0.004753
161,39418.5,1.28936,0.62555,1.05428,0.86261,0.853,0.88328,0.5558,1.25926,0.65317,1.08795,0.00472,0.00472,0.00472
162,39662.1,1.29078,0.62194,1.05486,0.8617,0.8539,0.8833,0.55559,1.25918,0.65324,1.08788,0.004687,0.004687,0.004687
163,39906.7,1.29404,0.62342,1.0538,0.86164,0.8539,0.88332,0.55608,1.25928,0.65303,1.08808,0.004654,0.004654,0.004654
164,40151.2,1.29229,0.61937,1.05241,0.86153,0.85378,0.88351,0.55614,1.25897,0.65294,1.08782,0.004621,0.004621,0.004621
165,40395.9,1.28756,0.61677,1.0533,0.86176,0.85499,0.88386,0.55642,1.25886,0.6526,1.08766,0.004588,0.004588,0.004588
166,40640.2,1.28599,0.61903,1.05405,0.86107,0.85533,0.88367,0.55622,1.25881,0.65234,1.0876,0.004555,0.004555,0.004555
167,40884.8,1.28948,0.62084,1.05358,0.86075,0.85559,0.88385,0.55629,1.25871,0.65232,1.08739,0.004522,0.004522,0.004522
168,41129.4,1.29071,0.62192,1.05001,0.86128,0.85523,0.88394,0.55634,1.25875,0.65196,1.08745,0.004489,0.004489,0.004489
169,41373.7,1.28628,0.61876,1.05114,0.8612,0.85511,0.88425,0.55679,1.25846,0.65154,1.08728,0.004456,0.004456,0.004456
170,41618.6,1.28927,0.61862,1.05123,0.8608,0.85478,0.88393,0.55665,1.25861,0.65117,1.08721,0.004423,0.004423,0.004423
171,41863,1.28596,0.61879,1.05207,0.86114,0.85409,0.88366,0.55676,1.25882,0.65092,1.08713,0.00439,0.00439,0.00439
172,42107.3,1.28629,0.61921,1.05036,0.86199,0.85253,0.88363,0.55637,1.25894,0.65043,1.08718,0.004357,0.004357,0.004357
173,42351.5,1.28395,0.61809,1.0498,0.86155,0.8518,0.88406,0.55647,1.25863,0.65022,1.08704,0.004324,0.004324,0.004324
174,42595.9,1.29094,0.61641,1.05256,0.86708,0.84731,0.88412,0.55665,1.25848,0.64998,1.08702,0.004291,0.004291,0.004291
175,42839.9,1.28058,0.61793,1.04956,0.86871,0.84765,0.88469,0.5566,1.25851,0.6498,1.08698,0.004258,0.004258,0.004258
