epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,15803.8,1.3256,0.62568,1.21402,0.85436,0.81671,0.86317,0.51147,1.35776,0.73269,1.33076,0.000677656,0.000677656,0.000677656
39,16217.2,1.32538,0.62341,1.21527,0.8377,0.84115,0.86429,0.51869,1.35141,0.74525,1.31775,0.000662188,0.000662188,0.000662188
40,16632.2,1.32591,0.61944,1.20083,0.84649,0.82509,0.86627,0.52104,1.35564,0.72332,1.31849,0.000646719,0.000646719,0.000646719
41,17045.7,1.31709,0.61649,1.20276,0.85519,0.80979,0.86328,0.52155,1.34599,0.72592,1.31223,0.00063125,0.00063125,0.00063125
42,17460.2,1.32439,0.6188,1.20661,0.85957,0.8184,0.86905,0.52013,1.35483,0.7178,1.32201,0.000615781,0.000615781,0.000615781
43,17874.7,1.31376,0.61189,1.19855,0.85458,0.80798,0.86655,0.52222,1.34126,0.71728,1.31279,0.000600313,0.000600313,0.000600313
44,18288.9,1.30641,0.61128,1.2035,0.86075,0.8114,0.86814,0.52284,1.35023,0.72184,1.33065,0.000584844,0.000584844,0.000584844
45,18702.1,1.30299,0.60661,1.20549,0.8662,0.79811,0.86252,0.52254,1.34268,0.73034,1.31178,0.000569375,0.000569375,0.000569375
46,19115.7,1.31862,0.61305,1.20489,0.84714,0.81809,0.86292,0.52063,1.34626,0.71727,1.31572,0.000553906,0.000553906,0.000553906
47,19529.9,1.30175,0.60087,1.19404,0.84139,0.83626,0.87147,0.5229,1.34745,0.7162,1.30944,0.000538438,0.000538438,0.000538438
48,19945.8,1.30505,0.60004,1.19052,0.85345,0.82535,0.8652,0.5192,1.35121,0.71959,1.32438,0.000522969,0.000522969,0.000522969
49,20360.6,1.28877,0.6007,1.19732,0.85332,0.81716,0.86405,0.5202,1.3442,0.71461,1.31683,0.0005075,0.0005075,0.0005075
50,20775.3,1.29176,0.59063,1.19145,0.83568,0.83522,0.86749,0.52658,1.34888,0.71139,1.31556,0.000492031,0.000492031,0.000492031
51,21189.6,1.28248,0.59315,1.18762,0.86391,0.80915,0.86535,0.52333,1.34255,0.71251,1.30757,0.000476562,0.000476562,0.000476562
52,21605.1,1.2966,0.59523,1.19272,0.85828,0.82618,0.87406,0.52638,1.34228,0.70875,1.32022,0.000461094,0.000461094,0.000461094
53,22018.5,1.27472,0.58818,1.18408,0.84759,0.83423,0.86939,0.52878,1.33975,0.72123,1.31372,0.000445625,0.000445625,0.000445625
54,22431.7,1.26632,0.58178,1.1784,0.85816,0.81566,0.86808,0.52547,1.34464,0.7111,1.31908,0.000430156,0.000430156,0.000430156
55,22845.9,1.27202,0.58358,1.18219,0.85637,0.83047,0.87246,0.52819,1.33947,0.71616,1.3141,0.000414688,0.000414688,0.000414688
56,23258.8,1.26102,0.57557,1.17935,0.85918,0.82979,0.8687,0.52581,1.3401,0.71494,1.30837,0.000399219,0.000399219,0.000399219
57,23673.7,1.27109,0.57952,1.17508,0.86629,0.8222,0.87028,0.52671,1.33878,0.70491,1.316,0.00038375,0.00038375,0.00038375
58,24089.1,1.26726,0.57846,1.17878,0.8547,0.82312,0.86503,0.5248,1.33973,0.70451,1.31354,0.000368281,0.000368281,0.000368281
59,24503.8,1.27074,0.57497,1.16986,0.84468,0.84554,0.86761,0.5242,1.34377,0.71442,1.31561,0.000352812,0.000352812,0.000352812
60,24919.2,1.26323,0.57381,1.17543,0.85092,0.83146,0.86998,0.52707,1.34122,0.70969,1.31527,0.000337344,0.000337344,0.000337344
61,25335.5,1.26365,0.57127,1.16502,0.87226,0.81267,0.8698,0.52737,1.34095,0.7023,1.31799,0.000321875,0.000321875,0.000321875
62,25748.2,1.24754,0.56601,1.17801,0.86592,0.8229,0.87139,0.52442,1.34655,0.70848,1.32274,0.000306406,0.000306406,0.000306406
63,26161.6,1.25337,0.57219,1.17311,0.85716,0.83481,0.87268,0.52771,1.34321,0.70602,1.31848,0.000290937,0.000290937,0.000290937
64,26575.1,1.25086,0.56863,1.16757,0.86236,0.82532,0.86626,0.52359,1.34827,0.70772,1.32639,0.000275469,0.000275469,0.000275469
65,26988.5,1.24634,0.5651,1.17094,0.8444,0.83817,0.86868,0.52847,1.34392,0.70103,1.32245,0.00026,0.00026,0.00026
66,27403.1,1.25671,0.56635,1.16485,0.85384,0.83566,0.86916,0.52709,1.34362,0.7027,1.321,0.000244531,0.000244531,0.000244531
67,27818.5,1.24665,0.56651,1.16073,0.84687,0.83862,0.87122,0.52719,1.34265,0.69824,1.31805,0.000229063,0.000229063,0.000229063
68,28231.6,1.24966,0.5582,1.16082,0.85566,0.82694,0.87412,0.53096,1.3381,0.70435,1.30725,0.000213594,0.000213594,0.000213594
69,28645.9,1.24751,0.55992,1.15794,0.84912,0.83412,0.87115,0.52914,1.33832,0.70678,1.31378,0.000198125,0.000198125,0.000198125
70,29058.3,1.22722,0.55501,1.15915,0.86242,0.82896,0.87133,0.5291,1.34234,0.70895,1.31534,0.000182656,0.000182656,0.000182656
71,29470.4,1.22194,0.50584,1.17572,0.85555,0.82717,0.87069,0.52896,1.34533,0.70623,1.30899,0.000167188,0.000167188,0.000167188
72,29881,1.21648,0.49884,1.16761,0.86069,0.82625,0.87232,0.52903,1.34284,0.71098,1.30978,0.000151719,0.000151719,0.000151719
73,30291.6,1.20948,0.49663,1.16856,0.86411,0.83421,0.87348,0.53149,1.33894,0.70733,1.30975,0.00013625,0.00013625,0.00013625
74,30702,1.2012,0.4942,1.16406,0.86115,0.82816,0.86963,0.52741,1.33858,0.709,1.3049,0.000120781,0.000120781,0.000120781
75,31112.7,1.2062,0.49189,1.1633,0.85408,0.83715,0.87164,0.52922,1.33888,0.71099,1.30769,0.000105312,0.000105312,0.000105312
76,31523.2,1.20682,0.49122,1.16092,0.85494,0.84102,0.8703,0.53086,1.33817,0.71036,1.30562,8.98437e-05,8.98437e-05,8.98437e-05
77,31933.6,1.19679,0.48494,1.15613,0.85924,0.83712,0.86929,0.52914,1.34127,0.71113,1.30837,7.4375e-05,7.4375e-05,7.4375e-05
78,32343.5,1.19125,0.4841,1.15607,0.85733,0.83016,0.86875,0.52771,1.34116,0.71188,1.30932,5.89062e-05,5.89062e-05,5.89062e-05
79,32753.9,1.19091,0.48431,1.15282,0.85417,0.83538,0.86875,0.52897,1.34227,0.71161,1.3112,4.34375e-05,4.34375e-05,4.34375e-05
80,33164.2,1.1883,0.48128,1.15086,0.85813,0.83293,0.86985,0.53079,1.34279,0.70957,1.31371,2.79687e-05,2.79687e-05,2.79687e-05
1,431.795,1.46475,0.78161,1.28578,0.82498,0.80562,0.83805,0.48757,1.38499,0.79962,1.33999,0.000416023,0.000416023,0.000416023
2,850.711,1.46321,0.81561,1.29076,0.81615,0.78866,0.83536,0.47937,1.40587,0.83177,1.36363,0.000822385,0.000822385,0.000822385
3,1280.38,1.45925,0.83455,1.29674,0.8597,0.74663,0.81235,0.47056,1.40717,0.84612,1.37519,0.00121843,0.00121843,0.00121843
4,1694.85,1.47234,0.83787,1.30001,0.82211,0.77909,0.82942,0.47634,1.39052,0.83166,1.35114,0.00120359,0.00120359,0.00120359
5,2110.05,1.46858,0.82617,1.30062,0.81376,0.79238,0.83065,0.48164,1.39936,0.84019,1.36964,0.00118812,0.00118812,0.00118812
6,2524.63,1.4478,0.8193,1.29041,0.83192,0.7935,0.83716,0.48349,1.38359,0.82293,1.34281,0.00117266,0.00117266,0.00117266
7,2938.96,1.4353,0.80197,1.28526,0.83671,0.77445,0.83291,0.48529,1.39817,0.81306,1.36236,0.00115719,0.00115719,0.00115719
8,3353.87,1.44873,0.79052,1.27847,0.83209,0.79917,0.85253,0.49715,1.38369,0.7814,1.34868,0.00114172,0.00114172,0.00114172
