epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,22847.2,1.27072,0.58348,1.17849,0.8513,0.83149,0.86817,0.52533,1.34221,0.70747,1.3094,0.000414688,0.000414688,0.000414688
56,23260.3,1.26056,0.57498,1.18219,0.85157,0.82728,0.87001,0.52852,1.33231,0.71102,1.30443,0.000399219,0.000399219,0.000399219
57,23675.7,1.26958,0.58121,1.17437,0.85513,0.82981,0.87015,0.52569,1.34028,0.71064,1.30964,0.00038375,0.00038375,0.00038375
58,24090.4,1.26443,0.57874,1.17988,0.83778,0.83373,0.86647,0.52384,1.33786,0.70236,1.3152,0.000368281,0.000368281,0.000368281
59,24504.6,1.27042,0.57499,1.17345,0.85184,0.82862,0.86775,0.52507,1.34035,0.71086,1.3138,0.000352812,0.000352812,0.000352812
60,24920.2,1.26273,0.57419,1.17859,0.85384,0.83445,0.87356,0.52861,1.33871,0.71593,1.31539,0.000337344,0.000337344,0.000337344
61,25336.7,1.2629,0.57125,1.16481,0.8654,0.81736,0.86829,0.52728,1.33935,0.71092,1.31082,0.000321875,0.000321875,0.000321875
62,25748.5,1.2465,0.56636,1.17554,0.85768,0.81456,0.86635,0.52512,1.34456,0.71497,1.3117,0.000306406,0.000306406,0.000306406
63,26162.1,1.25301,0.57017,1.16828,0.86047,0.82231,0.86876,0.52546,1.34501,0.707,1.30981,0.000290937,0.000290937,0.000290937
64,26576.7,1.25075,0.56687,1.16423,0.85774,0.82347,0.86915,0.5219,1.35121,0.71305,1.31933,0.000275469,0.000275469,0.000275469
65,26990.2,1.24498,0.56465,1.16534,0.8719,0.80374,0.86687,0.52405,1.34568,0.71328,1.31098,0.00026,0.00026,0.00026
66,27404.6,1.25695,0.5666,1.16451,0.85879,0.82346,0.86404,0.52302,1.34134,0.71026,1.31421,0.000244531,0.000244531,0.000244531
67,27820.2,1.24706,0.56502,1.16304,0.84321,0.83836,0.86898,0.52481,1.33901,0.70865,1.31564,0.000229063,0.000229063,0.000229063
68,28233.9,1.24861,0.55898,1.16144,0.86,0.82075,0.86947,0.52591,1.34084,0.71121,1.31123,0.000213594,0.000213594,0.000213594
69,28647.8,1.2448,0.55759,1.15564,0.87136,0.81803,0.8729,0.52884,1.33967,0.70933,1.30704,0.000198125,0.000198125,0.000198125
70,29060.6,1.22533,0.55404,1.15646,0.84952,0.81825,0.86183,0.51953,1.34271,0.71689,1.31055,0.000182656,0.000182656,0.000182656
71,29472.8,1.22291,0.50635,1.17486,0.85483,0.82793,0.86709,0.52264,1.34387,0.71399,1.30772,0.000167188,0.000167188,0.000167188
72,29883.2,1.21369,0.49949,1.16656,0.86306,0.81542,0.86409,0.52413,1.34494,0.71944,1.31196,0.000151719,0.000151719,0.000151719
73,30293,1.20851,0.49767,1.16721,0.87209,0.80674,0.86508,0.52248,1.34296,0.71823,1.3124,0.00013625,0.00013625,0.00013625
74,30702.6,1.19979,0.49435,1.1636,0.86726,0.81368,0.86522,0.52404,1.34408,0.71984,1.31248,0.000120781,0.000120781,0.000120781
75,31113.3,1.20355,0.49312,1.16588,0.862,0.82826,0.86795,0.52629,1.3396,0.71608,1.31253,0.000105312,0.000105312,0.000105312
76,31523.4,1.20396,0.49095,1.16409,0.87457,0.81185,0.86649,0.52478,1.34121,0.71185,1.31212,8.98437e-05,8.98437e-05,8.98437e-05
77,31933.9,1.19835,0.4849,1.15982,0.86738,0.81729,0.86609,0.52488,1.34065,0.71123,1.31085,7.4375e-05,7.4375e-05,7.4375e-05
78,32341.8,1.19221,0.48437,1.15849,0.85558,0.83092,0.86701,0.52459,1.3395,0.71318,1.31212,5.89062e-05,5.89062e-05,5.89062e-05
79,32750.8,1.19107,0.48537,1.15665,0.86184,0.82078,0.86699,0.52446,1.34286,0.71508,1.31397,4.34375e-05,4.34375e-05,4.34375e-05
80,33161.2,1.18698,0.48198,1.1538,0.88107,0.80848,0.86796,0.52662,1.3408,0.71443,1.31286,2.79687e-05,2.79687e-05,2.79687e-05
